t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269773,190,269770.5,2.814640339
0.230406657,sell,269773,810,269770.5,3.045046996
0.327438576,sell,269786,1000,269799.5,0
3.420492214,buy,269797,1000,269799.5,3.071904195
4.540477134,sell,269787,190,269784.5,0.963461711
4.540489794,sell,269787,810,269784.5,0.963474371
8.240608342,buy,269797,379,269798.5,3.561930886
8.240652276,buy,269797,190,269798.5,3.56197482
8.240690777,buy,269797,190,269798.5,3.562013321
8.24072665,buy,269797,190,269798.5,3.562049194
8.240759898,buy,269797,51,269798.5,3.562082442
8.409683124,buy,269780,190,269782.5,0.030521577
8.409691185,buy,269780,810,269782.5,0.030529638
9.250041851,sell,269741,1000,269738.5,0.671272229
10.062493727,sell,269775,1000,269772.5,0.680999025
13.414971594,buy,269785,1000,269787.5,3.23590428
16.051622858,sell,269749,126,269746.5,2.470550804
16.052051809,sell,269749,874,269746.5,2.470979755
18.969759447,sell,269802,380,269799.5,2.689194242
18.969767327,sell,269802,620,269799.5,2.689202122
19.267892466,sell,269869,190,269866.5,0.257994674
19.267904657,sell,269869,190,269866.5,0.258006865
19.267913637,sell,269869,190,269866.5,0.258015845
19.267921775,sell,269869,190,269866.5,0.258023983
19.267928751,sell,269869,190,269866.5,0.258030959
19.267935795,sell,269869,50,269866.5,0.258038003
20.924224954,sell,269902,200,269899.5,1.616841816
20.924232999,sell,269902,200,269899.5,1.616849861
20.92423982,sell,269902,380,269899.5,1.616856682
20.924246412,sell,269902,190,269899.5,1.616863274
20.924253462,sell,269902,30,269899.5,1.616870324
21.080276944,sell,269938,1000,269938.5,0.016185937
21.091043174,sell,269941,1000,269938.5,0
21.394451067,sell,269959,190,269957.5,0.160673144
21.39445824,sell,269959,190,269957.5,0.160680317
21.394465085,sell,269959,190,269957.5,0.160687162
21.394471703,sell,269959,200,269957.5,0.16069378
21.423114494,sell,269959,230,269957.5,0.189336571
23.945178987,sell,269986,380,269983.5,2.364462377
23.982880523,sell,269986,620,269986.5,2.402163913
24.023447363,sell,269989,200,269986.5,0.016173453
24.023457943,sell,269989,800,269986.5,0.016184033
25.535754357,buy,270011,1000,270013.5,0.843060726
25.729743077,buy,269998,170,270000.5,0.005355595
25.729847105,buy,269998,190,270000.5,0.005459623
25.730005285,buy,269998,190,270000.5,0.005617803
25.730145689,buy,269998,190,270000.5,0.005758207
25.730254828,buy,269998,190,270000.5,0.005867346
25.73035995,buy,269998,70,270000.5,0.005972468
25.935138313,buy,269970,170,269972.5,0.0022949
25.935548876,buy,269970,830,269972.5,0.002705463
25.995994201,buy,269965,190,269967.5,0.021785254
25.996098814,buy,269965,810,269967.5,0.021889867
28.624503038,buy,269941,1000,269943.5,2.526872196
28.688464713,buy,269923,1000,269925.5,0.00193958
37.14025391,sell,269881,190,269879.5,8.312225403
37.1403142,sell,269881,190,269879.5,8.312285693
37.140369703,sell,269881,190,269879.5,8.312341196
37.14042403,sell,269881,190,269879.5,8.312395523
37.14056294,sell,269881,240,269879.5,8.312534433
37.399110859,buy,269918,1000,269920.5,0.12813513
38.402157575,buy,269891,1000,269893.5,0.83202351
42.508217693,buy,269882,325,269884.5,3.938277642
42.508231035,buy,269882,190,269884.5,3.938290984
42.508247775,buy,269882,485,269884.5,3.938307724
42.739214219,buy,269878,1000,269880.5,0.148100821
43.523255557,sell,269850,200,269847.5,0.653810649
43.523266483,sell,269850,200,269847.5,0.653821575
43.523277585,sell,269850,200,269847.5,0.653832677
43.523288809,sell,269850,400,269847.5,0.653843901
45.244205242,sell,269898,380,269895.5,1.574030998
45.272254958,sell,269898,620,269898.5,1.602080714
46.401670331,sell,269901,400,269898.5,1.029676889
46.401691107,sell,269901,380,269898.5,1.029697665
46.401711597,sell,269901,200,269898.5,1.029718155
46.401732632,sell,269901,20,269898.5,1.02973919
49.565930001,buy,269948,379,269950.5,3.037564949
49.565992342,buy,269948,190,269950.5,3.03762729
49.566013772,buy,269948,190,269950.5,3.03764872
49.566028606,buy,269948,190,269950.5,3.037663554
49.566040854,buy,269948,51,269950.5,3.037675802
49.595275814,buy,269941,1000,269943.5,0.000144807
52.837166032,buy,269918,380,269920.5,3.064460859
52.837200182,buy,269918,190,269920.5,3.064495009
52.837222554,buy,269918,430,269920.5,3.064517381
53.014400762,buy,269896,190,269897.5,0.049461175
53.014435143,buy,269896,190,269897.5,0.049495556
53.014470674,buy,269896,200,269897.5,0.049531087
53.014505809,buy,269896,420,269897.5,0.049566222
53.40080296,buy,269892,1000,269894.5,0.227008895
57.421170796,buy,269857,194,269859.5,3.844765811
57.421285462,buy,269857,806,269859.5,3.844880477
57.919633527,sell,269847,200,269844.5,0.244940455
57.919660586,sell,269847,200,269844.5,0.244967514
57.919687601,sell,269847,200,269844.5,0.244994529
57.919716317,sell,269847,400,269844.5,0.245023245
59.763627278,sell,269857,190,269854.5,1.687668051
59.763634253,sell,269857,380,269854.5,1.687675026
59.763641504,sell,269857,430,269854.5,1.687682277
63.043368367,buy,269886,380,269888.5,1.566491203
63.043376259,buy,269886,620,269888.5,1.566499095
63.402280822,buy,269852,1000,269854.5,0.222314166
64.655061178,buy,269837,190,269838.5,1.076963264
64.655077322,buy,269837,190,269838.5,1.076979408
64.65509283,buy,269837,190,269838.5,1.076994916
64.655108402,buy,269837,380,269838.5,1.077010488
64.680146807,buy,269837,50,269836.5,1.102048893
67.576016912,sell,269839,200,269836.5,2.795574163
67.576026774,sell,269839,200,269836.5,2.795584025
67.576035075,sell,269839,190,269836.5,2.795592326
67.57604394,sell,269839,190,269836.5,2.795601191
67.576051486,sell,269839,200,269836.5,2.795608737
67.580095163,sell,269839,20,269839.5,2.799652414
73.681605373,buy,269837,1000,269836.5,6.073385002
73.734656364,buy,269834,1000,269836.5,0.001214072
73.88164555,buy,269822,1000,269820.5,0
75.083599417,sell,269823,1000,269825.5,1.102180191
78.124790228,sell,269830,1000,269827.5,0.539546555
83.782858311,buy,269852,390,269854.5,5.500673898
83.782903211,buy,269852,610,269854.5,5.500718798
88.30463246,buy,269797,32,269799.5,4.504353067
88.30477767,buy,269797,968,269799.5,4.504498277
89.591044222,sell,269780,190,269777.5,1.184840615
89.591391416,sell,269780,190,269777.5,1.185187809
89.591822209,sell,269780,190,269777.5,1.185618602
89.592147829,sell,269780,430,269777.5,1.185944222
92.082498173,buy,269797,1000,269797.5,2.37264278
92.094686596,buy,269795,1000,269797.5,0
93.411523823,buy,269774,380,269776.5,1.122884521
93.411538609,buy,269774,620,269776.5,1.122899307
95.490400449,buy,269735,380,269737.5,1.909090403
95.490419481,buy,269735,620,269737.5,1.909109435
98.475897092,buy,269723,380,269725.5,2.786949665
98.476006707,buy,269723,620,269725.5,2.78705928
107.465232993,buy,269709,380,269711.5,8.898916426
107.485376568,buy,269709,620,269705.5,8.919060001
129.812333242,sell,269571,1000,269568.5,0.000467405
130.129970274,sell,269575,1000,269572.5,0.150936002
130.231399402,sell,269586,1000,269583.5,0.000139147
132.934366235,sell,269604,1000,269601.5,2.55812967
134.780388404,buy,269634,199,269636.5,1.70121122
134.780416455,buy,269634,200,269636.5,1.701239271
134.780435602,buy,269634,200,269636.5,1.701258418
134.780448178,buy,269634,200,269636.5,1.701270994
134.879447581,buy,269634,201,269633.5,1.800270397
135.281728643,buy,269631,380,269633.5,0.299383777
135.281736032,buy,269631,620,269633.5,0.299391166
143.403351467,buy,269604,1000,269606.5,0.324918701
148.403877193,buy,269577,380,269579.5,4.825595348
148.403893655,buy,269577,620,269579.5,4.82561181
165.492530818,sell,269518,1000,269515.5,1.914517036
165.680828441,sell,269560,1000,269557.5,0.009437409
183.402116167,buy,269572,379,269574.5,17.622315843
183.40213113,buy,269572,621,269574.5,17.622330806
185.040832602,buy,269543,1000,269545.5,1.498922654
196.55898889,sell,269479,194,269476.5,4.528464089
196.559008683,sell,269479,190,269476.5,4.528483882
196.559020078,sell,269479,190,269476.5,4.528495277
196.559030412,sell,269479,190,269476.5,4.528505611
196.559041109,sell,269479,190,269476.5,4.528516308
196.559202152,sell,269479,46,269476.5,4.528677351
196.679941933,sell,269485,1000,269488.5,0
203.403789128,buy,269486,200,269488.5,6.625995991
203.40381024,buy,269486,200,269488.5,6.626017103
203.403830329,buy,269486,200,269488.5,6.626037192
203.403852452,buy,269486,400,269488.5,6.626059315
203.869167813,sell,269485,1000,269482.5,0.287883989
205.449613453,sell,269491,380,269488.5,1.469022242
205.449620975,sell,269491,190,269488.5,1.469029764
205.44962836,sell,269491,430,269488.5,1.469037149
213.107888448,sell,269509,1000,269506.5,7.528316787
218.585286064,buy,269519,126,269521.5,5.310011058
218.676697784,buy,269519,874,269514.5,5.401422778
228.428254351,buy,269512,380,269514.5,9.651247792
228.428838383,buy,269512,620,269514.5,9.651831824
234.162348993,buy,269488,380,269490.5,5.578468595
234.162373884,buy,269488,620,269490.5,5.578493486
234.280921176,buy,269480,1000,269482.5,0.02026132
247.677145216,sell,269479,190,269478.5,13.200495759
247.67716453,sell,269479,190,269478.5,13.200515073
247.677188819,sell,269479,190,269478.5,13.200539362
247.677208215,sell,269479,190,269478.5,13.200558758
247.67722471,sell,269479,240,269478.5,13.200575253
247.702985991,sell,269481,1000,269478.5,0.000293779
250.178007772,sell,269505,190,269503.5,2.357747646
250.17801716,sell,269505,190,269503.5,2.357757034
250.178026565,sell,269505,190,269503.5,2.357766439
250.178035408,sell,269505,190,269503.5,2.357775282
250.178044809,sell,269505,240,269503.5,2.357784683
282.539141971,buy,269501,380,269503.5,2.545354296
282.539195414,buy,269501,190,269503.5,2.545407739
282.539210226,buy,269501,190,269503.5,2.545422551
282.539221072,buy,269501,190,269503.5,2.545433397
282.539230805,buy,269501,50,269503.5,2.54544313
288.420785295,buy,269474,380,269476.5,2.838442868
288.420951553,buy,269474,620,269476.5,2.838609126
288.757837318,buy,269472,1000,269474.5,0.176602476
337.06809178,sell,269376,10,269373.5,3.494987057
337.068110914,sell,269376,200,269373.5,3.495006191
337.068127599,sell,269376,200,269373.5,3.495022876
337.068143149,sell,269376,590,269373.5,3.495038426
339.239364696,sell,269378,380,269375.5,2.065719196
339.239377003,sell,269378,190,269375.5,2.065731503
339.239386283,sell,269378,430,269375.5,2.065740783
342.72117175,buy,269395,379,269397.5,3.348602939
342.721214108,buy,269395,200,269397.5,3.348645297
342.721222053,buy,269395,421,269397.5,3.348653242
346.160629907,sell,269376,1000,269373.5,3.385850812
346.253843925,buy,269436,1000,269438.5,0.004046234
353.403146956,buy,269433,380,269435.5,3.825299573
353.403179005,buy,269433,620,269435.5,3.825331622
360.754167008,sell,269411,1000,269408.5,7.178904787
367.109990888,sell,269437,380,269434.5,6.234000329
367.110025289,sell,269437,200,269434.5,6.23403473
367.110058676,sell,269437,200,269434.5,6.234068117
367.110090676,sell,269437,200,269434.5,6.234100117
367.110122878,sell,269437,20,269434.5,6.234132319
369.233345231,sell,269440,1000,269437.5,1.957889105
369.301198543,sell,269446,1000,269443.5,0.001612037
369.955746054,sell,269453,1000,269450.5,0.482371589
370.386171139,sell,269464,200,269462.5,0.380469139
370.3862064,sell,269464,200,269462.5,0.3805044
370.386240822,sell,269464,200,269462.5,0.380538822
370.482832005,sell,269464,400,269466.5,0.477130005
371.62145578,sell,269469,190,269466.5,1.048084435
371.621492422,sell,269469,810,269466.5,1.048121077
379.319562716,buy,269491,379,269493.5,7.542894573
379.319599113,buy,269491,621,269493.5,7.54293097
379.457394913,buy,269468,190,269470.5,0.000297925
379.481089366,buy,269468,810,269466.5,0.023992378
379.70516007,buy,269464,1000,269466.5,0.131081868
382.466038002,buy,269437,380,269439.5,2.591368237
382.466075015,buy,269437,620,269439.5,2.59140525
382.519482232,buy,269421,1000,269423.5,0.000822751
394.388953885,sell,269419,1000,269416.5,11.713716018
395.404556357,sell,269426,200,269424,0.862872388
395.404577212,sell,269426,200,269424,0.862893243
395.404598743,sell,269426,200,269424,0.862914774
395.404617569,sell,269426,380,269424,0.8629336
395.404636041,sell,269426,20,269424,0.862952072
397.127543328,sell,269454,1000,269451.5,1.661797101
403.433829204,buy,269468,232,269470.5,6.166883217
403.433861115,buy,269468,190,269470.5,6.166915128
403.433901182,buy,269468,578,269470.5,6.166955195
408.570693348,buy,269462,378,269464.5,3.813687302
408.581016472,buy,269462,622,269464.5,3.824010426
410.700679787,buy,269446,380,269448.5,1.694493768
410.700793588,buy,269446,620,269448.5,1.694607569
411.347352358,buy,269414,380,269416.5,0.141364604
411.347500251,buy,269414,620,269416.5,0.141512497
411.747827202,buy,269406,1000,269405.5,0.300640716
417.20397163,sell,269382,1000,269379.5,5.051319893
428.57637466,buy,269414,379,269416.5,11.233112707
428.576407718,buy,269414,200,269416.5,11.233145765
428.576438221,buy,269414,200,269416.5,11.233176268
428.576469258,buy,269414,190,269416.5,11.233207305
428.57650102,buy,269414,31,269416.5,11.233239067
444.868778718,sell,269356,400,269353.5,1.300619481
444.868798334,sell,269356,600,269353.5,1.300639097
444.948285305,sell,269381,1000,269378.5,0.063051649
447.597528692,buy,269492,1000,269494.5,2.286578225
448.396256597,buy,269473,1000,269475.5,0.22794488
454.794988357,sell,269439,1000,269436.5,6.223204374
454.964554387,buy,269470,200,269472.5,0.020852409
454.969059832,buy,269470,800,269472.5,0.025357854
474.656315461,sell,269394,380,269391.5,19.398195642
474.65647297,sell,269394,190,269391.5,19.398353151
474.656549982,sell,269394,200,269391.5,19.398430163
474.65661814,sell,269394,200,269391.5,19.398498321
474.656952254,sell,269394,30,269391.5,19.398832435
480.259445575,sell,269397,380,269394.5,5.494212348
480.259486556,sell,269397,620,269394.5,5.494253329
483.975494938,sell,269403,380,269402.5,3.602433442
483.975590035,sell,269403,200,269402.5,3.602528539
483.975608284,sell,269403,190,269402.5,3.602546788
483.975623366,sell,269403,200,269402.5,3.60256187
483.975636966,sell,269403,30,269402.5,3.60257547
484.011585468,sell,269405,1000,269402.5,0.022713961
485.298534194,sell,269426,190,269423.5,1.127514199
485.298558872,sell,269426,380,269423.5,1.127538877
485.301557835,sell,269426,430,269423.5,1.13053784
486.346943936,sell,269446,200,269443.5,0.874849635
486.347002738,sell,269446,200,269443.5,0.874908437
486.34703295,sell,269446,380,269443.5,0.874938649
486.347053687,sell,269446,200,269443.5,0.874959386
486.383233103,sell,269446,20,269446.5,0.911138802
495.117686326,sell,269449,199,269446.5,8.646447781
495.117702609,sell,269449,200,269446.5,8.646464064
495.117720469,sell,269449,380,269446.5,8.646481924
495.117736896,sell,269449,200,269446.5,8.646498351
495.178112014,sell,269449,21,269449.5,8.706873469
514.80125717,sell,269452,380,269449.5,19.519140403
514.801298144,sell,269452,620,269449.5,19.519181377
515.02710304,sell,269475,200,269472.5,0.068038205
515.027163867,sell,269475,200,269472.5,0.068099032
515.02720051,sell,269475,190,269472.5,0.068135675
515.027231644,sell,269475,410,269472.5,0.068166809
515.243880266,sell,269486,1000,269483.5,0.085737095
525.988950727,sell,269502,378,269499.5,10.624590879
525.98896948,sell,269502,622,269499.5,10.624609632
528.751782228,buy,269519,379,269521.5,2.592236596
528.751895267,buy,269519,190,269521.5,2.592349635
528.751992739,buy,269519,190,269521.5,2.592447107
528.75210485,buy,269519,190,269521.5,2.592559218
528.754717554,buy,269519,51,269521.5,2.595171922
602.829294983,buy,269512,380,269514.5,74.062701176
602.82932669,buy,269512,370,269514.5,74.062732883
602.829359072,buy,269512,250,269514.5,74.062765265
603.699833101,buy,269506,1000,269508.5,0.730822194
629.166471344,buy,269476,279,269478.5,25.385610797
629.167047091,buy,269476,20,269478.5,25.386186544
629.167911298,buy,269476,360,269478.5,25.387050751
629.167996591,buy,269476,341,269478.5,25.387136044
629.338894889,buy,269449,380,269451.5,0.000414035
629.338979082,buy,269449,620,269451.5,0.000498228
629.371810959,buy,269440,1000,269428.5,0
629.482798111,buy,269426,190,269428.5,0.094159009
629.482836354,buy,269426,190,269428.5,0.094197252
629.525637027,buy,269426,620,269428.5,0.136997925
629.594743382,buy,269414,1000,269416.5,0.000723445
634.376534742,buy,269407,380,269409.5,4.59508196
634.376563853,buy,269407,620,269409.5,4.595111071
644.17128154,sell,269377,1000,269423,9.679713616
644.258005987,sell,269425,1000,269423,0.075261812
644.346719021,sell,269473,1000,269471,0.00049034
644.362143127,buy,269469,1000,269471,0.015914446
646.023144476,buy,269462,1000,269464.5,0.065078289
650.796213018,sell,269451,190,269448.5,4.63604333
650.796514723,sell,269451,200,269448.5,4.636345035
650.796739958,sell,269451,200,269448.5,4.63657027
650.796949692,sell,269451,200,269448.5,4.636780004
650.797142792,sell,269451,200,269448.5,4.636973104
650.799122804,sell,269451,10,269448.5,4.638953116
650.895830539,sell,269457,1000,269454.5,0.003545429
651.175798089,sell,269462,1000,269459.5,0.164253874
651.294243583,sell,269472,200,269469.5,0.027995167
651.294401327,sell,269472,200,269469.5,0.028152911
651.363944495,sell,269472,600,269474.5,0.097696079
652.258306091,sell,269477,190,269475.5,0.7933114
652.258485662,sell,269477,380,269475.5,0.793490971
652.258672312,sell,269477,430,269475.5,0.793677621
655.304166226,sell,269483,380,269480.5,2.938878338
655.304204206,sell,269483,620,269480.5,2.938916318
656.923668733,sell,269512,380,269509.5,1.463672549
656.92368694,sell,269512,190,269509.5,1.463690756
656.923700504,sell,269512,190,269509.5,1.46370432
656.923714131,sell,269512,190,269509.5,1.463717947
656.923726708,sell,269512,50,269509.5,1.463730524
656.972990173,sell,269545,1000,269542.5,0
657.002307484,sell,269571,1000,269568.5,0.000451725
661.800237939,buy,269602,194,269604.5,4.639881878
661.800564628,buy,269602,806,269604.5,4.640208567
666.718032974,sell,269574,1000,269570.5,4.806765397
666.860673311,sell,269590,1000,269587.5,0.003221272
666.880109591,sell,269642,1000,269640,0.002017258
668.327466407,sell,269646,380,269643.5,1.310807483
668.327486987,sell,269646,620,269643.5,1.310828063
677.220766096,buy,269665,379,269667.5,8.762445096
677.220775919,buy,269665,190,269667.5,8.762454919
677.220785547,buy,269665,190,269667.5,8.762464547
677.220795184,buy,269665,190,269667.5,8.762474184
677.220805371,buy,269665,51,269667.5,8.762484371
679.330513369,buy,269658,76,269659.5,2.050604294
679.330534133,buy,269658,190,269659.5,2.050625058
679.330554024,buy,269658,190,269659.5,2.050644949
679.330575317,buy,269658,190,269659.5,2.050666242
679.330595891,buy,269658,354,269659.5,2.050686816
679.409605143,buy,269652,200,269654.5,0.000613825
679.409623648,buy,269652,800,269654.5,0.00063233
685.320015638,buy,269641,380,269643.5,5.829200658
685.320046329,buy,269641,620,269643.5,5.829231349
685.419570795,buy,269620,1000,269622.5,0.000591122
685.860813471,buy,269592,1000,269594.5,0.28427441
686.367396869,buy,269589,1000,269591.5,0.433170539
689.165637753,sell,269557,1000,269554.5,2.760546469
690.610330291,buy,269558,1000,269560.5,1.345814108
697.386691364,buy,269552,380,269553.5,6.627166296
697.386720124,buy,269552,380,269553.5,6.627195056
697.386749522,buy,269552,190,269553.5,6.627224454
697.386778552,buy,269552,50,269553.5,6.627253484
700.481279467,buy,269530,1000,269525.5,2.918925802
700.630721437,buy,269523,1000,269525.5,0.065357751
717.402048265,sell,269504,190,269502.5,16.640697025
717.40211179,sell,269504,190,269502.5,16.64076055
717.402174247,sell,269504,190,269502.5,16.640823007
717.40224094,sell,269504,190,269502.5,16.6408897
717.40230396,sell,269504,240,269502.5,16.64095272
717.937144493,sell,269511,1000,269509.5,0.452019138
720.210263871,sell,269539,380,269536.5,2.186977011
720.212994419,sell,269539,620,269536.5,2.189707559
727.307714765,sell,269557,380,269554.5,6.944850814
727.310015267,sell,269557,620,269554.5,6.947151316
734.653883126,buy,269605,194,269607.5,7.186016147
734.653906596,buy,269605,806,269607.5,7.186039617
734.739547611,buy,269598,1000,269600.5,0.000545277
734.849028001,buy,269593,1000,269595.5,0.03230516
734.970573524,buy,269589,190,269591.5,0.002783884
734.970583121,buy,269589,810,269591.5,0.002793481
736.170654781,buy,269583,1000,269585.5,1.00280289
739.790919516,sell,269576,1000,269573.5,3.422937627
741.392267229,buy,269582,1000,269584.5,1.424232672
741.576366502,buy,269571,1000,269539.5,0
741.992043884,buy,269537,1000,269539.5,0.323641496
742.875445104,buy,269532,1000,269534.5,0.707205582
744.635703688,buy,269521,380,269523.5,1.567709222
744.635728412,buy,269521,620,269523.5,1.567733946
837.660834677,sell,269378,211,269375.5,27.670735566
837.660851591,sell,269378,789,269375.5,27.67075248
837.736393734,sell,269385,1000,269382.5,0.000491214
839.137118352,sell,269402,200,269399.5,1.267675551
839.137158129,sell,269402,190,269399.5,1.267715328
839.137188551,sell,269402,200,269399.5,1.26774575
839.137213056,sell,269402,200,269399.5,1.267770255
839.137237867,sell,269402,200,269399.5,1.267795066
839.137259537,sell,269402,10,269399.5,1.267816736
839.273429495,sell,269412,1000,269409.5,0.002556349
841.169726734,sell,269418,380,269415.5,1.700107598
841.169739082,sell,269418,180,269415.5,1.700119946
841.170698651,sell,269418,440,269422.5,1.701079515
841.271479742,sell,269425,1000,269422.5,0.001041371
856.128629658,sell,269458,380,269455.5,14.658603314
856.128643746,sell,269458,620,269455.5,14.658617402
856.610044073,sell,269522,1000,269519.5,0.292842934
856.710383567,sell,269522,1000,269552.5,0
863.83923772,sell,269555,236,269552.5,7.070412887
863.843452777,sell,269555,764,269552.5,7.074627944
864.953533521,sell,269588,190,269586.5,1.061372757
864.953550592,sell,269588,810,269586.5,1.061389828
865.371261064,sell,269613,1000,269610.5,0.303069226
868.454136215,sell,269625,190,269622.5,2.883434257
868.454420114,sell,269625,190,269622.5,2.883718156
868.454663549,sell,269625,200,269622.5,2.883961591
868.454867085,sell,269625,420,269622.5,2.884165127
870.180742897,sell,269636,380,269633.5,1.631397907
870.182475313,sell,269636,620,269633.5,1.633130323
871.674870807,sell,269645,380,269643.5,1.302492957
871.674888075,sell,269645,620,269643.5,1.302510225
873.290397161,buy,269671,194,269673.5,1.42212764
873.29040689,buy,269671,190,269673.5,1.422137369
873.290415886,buy,269671,190,269673.5,1.422146365
873.290424884,buy,269671,426,269673.5,1.422155363
876.1356395,sell,269646,1000,269643.5,2.666902554
885.36017998,buy,269679,410,269681.5,9.093173051
885.360189376,buy,269679,590,269681.5,9.093182447
885.410856326,buy,269669,1000,269671.5,0.000290256
885.57049632,buy,269653,1000,269655.5,0.003823467
894.271555595,buy,269641,379,269642.5,8.503794119
894.271563679,buy,269641,190,269642.5,8.503802203
894.271572796,buy,269641,190,269642.5,8.50381132
894.271581177,buy,269641,190,269642.5,8.503819701
894.271589294,buy,269641,51,269642.5,8.503827818
899.753351242,buy,269615,380,269617.5,5.285739513
899.753364913,buy,269615,620,269617.5,5.285753184
901.104337716,buy,269590,190,269592.5,1.236151386
901.104347027,buy,269590,190,269592.5,1.236160697
901.104356413,buy,269590,190,269592.5,1.236170083
901.104363279,buy,269590,380,269592.5,1.236176949
901.104370265,buy,269590,50,269592.5,1.236183935
901.211972129,buy,269579,1000,269581.5,0.000339638
902.011869024,buy,269563,190,269565.5,0.661200748
902.01188152,buy,269563,190,269565.5,0.661213244
902.01189467,buy,269563,190,269565.5,0.661226394
902.011906822,buy,269563,380,269565.5,0.661238546
902.011919789,buy,269563,50,269565.5,0.661251513
905.273753402,sell,269554,190,269552.5,3.104781037
905.273775917,sell,269554,190,269552.5,3.104803552
905.273798882,sell,269554,190,269552.5,3.104826517
905.273821096,sell,269554,190,269552.5,3.104848731
905.273842799,sell,269554,240,269552.5,3.104870434
905.844251787,sell,269572,190,269570.5,0.447904481
905.844271559,sell,269572,190,269570.5,0.447924253
905.844290914,sell,269572,190,269570.5,0.447943608
905.844310176,sell,269572,190,269570.5,0.44796287
905.865312777,sell,269572,240,269575.5,0.468965471
905.967750382,sell,269578,1000,269575.5,0.002387627
907.545979132,sell,269596,190,269594.5,1.463962329
907.546000349,sell,269596,190,269594.5,1.463983546
907.546021751,sell,269596,190,269594.5,1.464004948
907.546042776,sell,269596,190,269594.5,1.464025973
907.546063486,sell,269596,240,269594.5,1.464046683
913.658785904,buy,269597,190,269600.5,5.992022165
913.65879372,buy,269597,810,269600.5,5.992029981
916.248976945,sell,269596,194,269593.5,2.481317599
916.248983189,sell,269596,190,269593.5,2.481323843
916.248990558,sell,269596,616,269593.5,2.481331212
916.803596043,sell,269605,190,269602.5,0.436572301
916.803617652,sell,269605,190,269602.5,0.43659391
916.803634819,sell,269605,190,269602.5,0.436611077
916.803643869,sell,269605,380,269602.5,0.436620127
916.803657396,sell,269605,50,269602.5,0.436633654
919.660397682,sell,269611,380,269608.5,2.69351989
919.664970716,sell,269611,620,269608.5,2.698092924
940.596520739,buy,269609,194,269611.5,20.829041084
940.596531054,buy,269609,806,269611.5,20.829051399
940.713906059,buy,269583,1000,269585.5,0.000630597
940.867520393,buy,269575,190,269577.5,0.002387952
940.867531054,buy,269575,810,269577.5,0.002398613
943.214024651,buy,269560,380,269562.5,2.149677767
943.214054011,buy,269560,190,269562.5,2.149707127
943.214077643,buy,269560,190,269562.5,2.149730759
943.214099305,buy,269560,190,269562.5,2.149752421
943.214126418,buy,269560,50,269562.5,2.149779534
943.31024733,buy,269555,1000,269557.5,0
946.307023835,buy,269528,380,269530.5,2.842003796
946.307040234,buy,269528,190,269530.5,2.842020195
946.307056295,buy,269528,190,269530.5,2.842036256
946.307071759,buy,269528,190,269530.5,2.84205172
946.307087543,buy,269528,50,269530.5,2.842067504
948.464549925,buy,269511,190,269513.5,1.998833869
948.464601112,buy,269511,190,269513.5,1.998885056
948.464614965,buy,269511,190,269513.5,1.998898909
948.464626214,buy,269511,190,269513.5,1.998910158
948.464634998,buy,269511,190,269513.5,1.998918942
948.464643307,buy,269511,50,269513.5,1.998927251
967.929619324,sell,269504,1000,269501.5,19.363310866
968.54603322,sell,269541,1000,269538.5,0.451414954
968.923592487,sell,269548,1000,269545.5,0.256300009
969.094907576,sell,269555,1000,269552.5,0.02019975
969.88892886,sell,269563,1000,269560.5,0.569477065
969.980950436,sell,269571,1000,269568.5,0.065292925
971.46645027,sell,269585,380,269582.5,1.397170796
971.467227808,sell,269585,620,269582.5,1.397948334
974.944756676,sell,269592,1000,269589.5,3.422575804
975.037037748,sell,269617,1000,269614.5,0.000521329
988.33098124,sell,269630,380,269627.5,13.184501734
988.331357317,sell,269630,620,269627.5,13.184877811
990.367726454,sell,269647,380,269644.5,1.900993369
990.36780737,sell,269647,190,269644.5,1.901074285
990.36783127,sell,269647,190,269644.5,1.901098185
990.367846008,sell,269647,190,269644.5,1.901112923
990.367857741,sell,269647,50,269644.5,1.901124656
996.332933299,sell,269660,380,269657.5,5.864736867
996.333033726,sell,269660,620,269657.5,5.864837294
996.474533282,sell,269684,100,269681.5,0.031553163
996.474585278,sell,269684,190,269681.5,0.031605159
996.474631534,sell,269684,190,269681.5,0.031651415
996.474674992,sell,269684,190,269681.5,0.031694873
996.474714523,sell,269684,200,269681.5,0.031734404
996.474752955,sell,269684,130,269681.5,0.031772836
996.583069395,sell,269686,1000,269702.5,0
1007.020024781,buy,269731,194,269733.5,8.157029578
1007.020060444,buy,269731,190,269733.5,8.157065241
1007.020088686,buy,269731,190,269733.5,8.157093483
1007.020113766,buy,269731,190,269733.5,8.157118563
1007.026966626,buy,269731,236,269733.5,8.163971423
1007.086068858,buy,269720,1000,269722.5,0.000162094
1009.047785508,sell,269698,1000,269695.5,1.784050675
1024.072824456,sell,269724,270,269721.5,14.906804108
1024.072840782,sell,269724,730,269721.5,14.906820434
1051.64443874,buy,269996,399,269999.5,3.577403141
1051.644448177,buy,269996,601,269999.5,3.577412578
1051.717505557,buy,269989,1000,269991.5,0.002379277
1051.783686261,buy,269984,190,269986.5,0.000117983
1051.78369843,buy,269984,190,269986.5,0.000130152
1051.783709926,buy,269984,190,269986.5,0.000141648
1051.783719586,buy,269984,190,269986.5,0.000151308
